	prediction key	run number	Accuracy	Dataset Size	Model	Inter-Aspect	CWR	Position	Dataset	Split	Reduced Error Split	NT	Subset By
0	predicted_target_sentiment_AE_GloVe_None_None	0	65.63706563706563	259	AE	False	False	False	Laptop	Test	DS	1	DS1
1	predicted_target_sentiment_AE_GloVe_None_None	1	64.86486486486487	259	AE	False	False	False	Laptop	Test	DS	1	DS1
2	predicted_target_sentiment_AE_GloVe_None_None	2	67.18146718146718	259	AE	False	False	False	Laptop	Test	DS	1	DS1
3	predicted_target_sentiment_AE_GloVe_None_None	3	67.18146718146718	259	AE	False	False	False	Laptop	Test	DS	1	DS1
4	predicted_target_sentiment_AE_GloVe_None_None	4	65.63706563706563	259	AE	False	False	False	Laptop	Test	DS	1	DS1
5	predicted_target_sentiment_AE_GloVe_None_None	5	66.02316602316603	259	AE	False	False	False	Laptop	Test	DS	1	DS1
6	predicted_target_sentiment_AE_GloVe_None_None	6	70.27027027027027	259	AE	False	False	False	Laptop	Test	DS	1	DS1
7	predicted_target_sentiment_AE_GloVe_None_None	7	64.86486486486487	259	AE	False	False	False	Laptop	Test	DS	1	DS1
8	predicted_target_sentiment_AE_GloVe_None_None	0	66.875	160	AE	False	False	False	Laptop	Test	DS	Low	DS1
9	predicted_target_sentiment_AE_GloVe_None_None	1	68.75	160	AE	False	False	False	Laptop	Test	DS	Low	DS1
10	predicted_target_sentiment_AE_GloVe_None_None	2	72.5	160	AE	False	False	False	Laptop	Test	DS	Low	DS1
11	predicted_target_sentiment_AE_GloVe_None_None	3	71.25	160	AE	False	False	False	Laptop	Test	DS	Low	DS1
12	predicted_target_sentiment_AE_GloVe_None_None	4	71.25	160	AE	False	False	False	Laptop	Test	DS	Low	DS1
13	predicted_target_sentiment_AE_GloVe_None_None	5	71.25	160	AE	False	False	False	Laptop	Test	DS	Low	DS1
14	predicted_target_sentiment_AE_GloVe_None_None	6	73.75	160	AE	False	False	False	Laptop	Test	DS	Low	DS1
15	predicted_target_sentiment_AE_GloVe_None_None	7	71.25	160	AE	False	False	False	Laptop	Test	DS	Low	DS1
16	predicted_target_sentiment_AE_GloVe_None_None	0	86.11111111111111	72	AE	False	False	False	Laptop	Test	DS	Med	DS1
17	predicted_target_sentiment_AE_GloVe_None_None	1	79.16666666666666	72	AE	False	False	False	Laptop	Test	DS	Med	DS1
18	predicted_target_sentiment_AE_GloVe_None_None	2	87.5	72	AE	False	False	False	Laptop	Test	DS	Med	DS1
19	predicted_target_sentiment_AE_GloVe_None_None	3	83.33333333333334	72	AE	False	False	False	Laptop	Test	DS	Med	DS1
20	predicted_target_sentiment_AE_GloVe_None_None	4	84.72222222222221	72	AE	False	False	False	Laptop	Test	DS	Med	DS1
21	predicted_target_sentiment_AE_GloVe_None_None	5	84.72222222222221	72	AE	False	False	False	Laptop	Test	DS	Med	DS1
22	predicted_target_sentiment_AE_GloVe_None_None	6	84.72222222222221	72	AE	False	False	False	Laptop	Test	DS	Med	DS1
23	predicted_target_sentiment_AE_GloVe_None_None	7	83.33333333333334	72	AE	False	False	False	Laptop	Test	DS	Med	DS1
24	predicted_target_sentiment_AE_GloVe_None_None	0	93.18181818181817	44	AE	False	False	False	Laptop	Test	DS	High	DS1
25	predicted_target_sentiment_AE_GloVe_None_None	1	93.18181818181817	44	AE	False	False	False	Laptop	Test	DS	High	DS1
26	predicted_target_sentiment_AE_GloVe_None_None	2	88.63636363636364	44	AE	False	False	False	Laptop	Test	DS	High	DS1
27	predicted_target_sentiment_AE_GloVe_None_None	3	88.63636363636364	44	AE	False	False	False	Laptop	Test	DS	High	DS1
28	predicted_target_sentiment_AE_GloVe_None_None	4	90.9090909090909	44	AE	False	False	False	Laptop	Test	DS	High	DS1
29	predicted_target_sentiment_AE_GloVe_None_None	5	81.81818181818183	44	AE	False	False	False	Laptop	Test	DS	High	DS1
30	predicted_target_sentiment_AE_GloVe_None_None	6	81.81818181818183	44	AE	False	False	False	Laptop	Test	DS	High	DS1
31	predicted_target_sentiment_AE_GloVe_None_None	7	90.9090909090909	44	AE	False	False	False	Laptop	Test	DS	High	DS1
32	predicted_target_sentiment_CNN_GloVe_None_None	0	66.79536679536679	259	CNN	False	False	False	Laptop	Test	DS	1	DS1
33	predicted_target_sentiment_CNN_GloVe_None_None	1	64.86486486486487	259	CNN	False	False	False	Laptop	Test	DS	1	DS1
34	predicted_target_sentiment_CNN_GloVe_None_None	2	67.95366795366795	259	CNN	False	False	False	Laptop	Test	DS	1	DS1
35	predicted_target_sentiment_CNN_GloVe_None_None	3	66.02316602316603	259	CNN	False	False	False	Laptop	Test	DS	1	DS1
36	predicted_target_sentiment_CNN_GloVe_None_None	4	67.18146718146718	259	CNN	False	False	False	Laptop	Test	DS	1	DS1
37	predicted_target_sentiment_CNN_GloVe_None_None	5	64.47876447876449	259	CNN	False	False	False	Laptop	Test	DS	1	DS1
38	predicted_target_sentiment_CNN_GloVe_None_None	6	66.79536679536679	259	CNN	False	False	False	Laptop	Test	DS	1	DS1
39	predicted_target_sentiment_CNN_GloVe_None_None	7	66.02316602316603	259	CNN	False	False	False	Laptop	Test	DS	1	DS1
40	predicted_target_sentiment_CNN_GloVe_None_None	0	70.0	160	CNN	False	False	False	Laptop	Test	DS	Low	DS1
41	predicted_target_sentiment_CNN_GloVe_None_None	1	75.0	160	CNN	False	False	False	Laptop	Test	DS	Low	DS1
42	predicted_target_sentiment_CNN_GloVe_None_None	2	70.0	160	CNN	False	False	False	Laptop	Test	DS	Low	DS1
43	predicted_target_sentiment_CNN_GloVe_None_None	3	70.0	160	CNN	False	False	False	Laptop	Test	DS	Low	DS1
44	predicted_target_sentiment_CNN_GloVe_None_None	4	72.5	160	CNN	False	False	False	Laptop	Test	DS	Low	DS1
45	predicted_target_sentiment_CNN_GloVe_None_None	5	72.5	160	CNN	False	False	False	Laptop	Test	DS	Low	DS1
46	predicted_target_sentiment_CNN_GloVe_None_None	6	73.75	160	CNN	False	False	False	Laptop	Test	DS	Low	DS1
47	predicted_target_sentiment_CNN_GloVe_None_None	7	75.0	160	CNN	False	False	False	Laptop	Test	DS	Low	DS1
48	predicted_target_sentiment_CNN_GloVe_None_None	0	87.5	72	CNN	False	False	False	Laptop	Test	DS	Med	DS1
49	predicted_target_sentiment_CNN_GloVe_None_None	1	87.5	72	CNN	False	False	False	Laptop	Test	DS	Med	DS1
50	predicted_target_sentiment_CNN_GloVe_None_None	2	91.66666666666666	72	CNN	False	False	False	Laptop	Test	DS	Med	DS1
51	predicted_target_sentiment_CNN_GloVe_None_None	3	87.5	72	CNN	False	False	False	Laptop	Test	DS	Med	DS1
52	predicted_target_sentiment_CNN_GloVe_None_None	4	91.66666666666666	72	CNN	False	False	False	Laptop	Test	DS	Med	DS1
53	predicted_target_sentiment_CNN_GloVe_None_None	5	87.5	72	CNN	False	False	False	Laptop	Test	DS	Med	DS1
54	predicted_target_sentiment_CNN_GloVe_None_None	6	91.66666666666666	72	CNN	False	False	False	Laptop	Test	DS	Med	DS1
55	predicted_target_sentiment_CNN_GloVe_None_None	7	87.5	72	CNN	False	False	False	Laptop	Test	DS	Med	DS1
56	predicted_target_sentiment_CNN_GloVe_None_None	0	90.9090909090909	44	CNN	False	False	False	Laptop	Test	DS	High	DS1
57	predicted_target_sentiment_CNN_GloVe_None_None	1	88.63636363636364	44	CNN	False	False	False	Laptop	Test	DS	High	DS1
58	predicted_target_sentiment_CNN_GloVe_None_None	2	90.9090909090909	44	CNN	False	False	False	Laptop	Test	DS	High	DS1
59	predicted_target_sentiment_CNN_GloVe_None_None	3	90.9090909090909	44	CNN	False	False	False	Laptop	Test	DS	High	DS1
60	predicted_target_sentiment_CNN_GloVe_None_None	4	79.54545454545455	44	CNN	False	False	False	Laptop	Test	DS	High	DS1
61	predicted_target_sentiment_CNN_GloVe_None_None	5	79.54545454545455	44	CNN	False	False	False	Laptop	Test	DS	High	DS1
62	predicted_target_sentiment_CNN_GloVe_None_None	6	79.54545454545455	44	CNN	False	False	False	Laptop	Test	DS	High	DS1
